Unnamed: 0,GeneNames,value1,value2,log2FC,p-value
0,LOC_Os09g01000.1,8862,32767,-1.88653936,1.2499999999999999e-55
1,LOC_Os12g42876.1,1099,117,3.2316109510000004,1.0499999999999999e-55
2,LOC_Os12g42884.2,797,88,3.179004295,2.59e-54
3,LOC_Os03g16920.1,274,7,5.2906771610000005,4.6899999999999994e-54
4,LOC_Os05g47540.4,308,18,4.096861539,2.1899999999999996e-54
5,LOC_Os09g00999.1,339,1213,-1.839222372,1.9499999999999998e-54
6,LOC_Os01g62900.1,193,4,5.592457037000001,1.5599999999999995e-54
7,LOC_Os09g27030.2,504,162,1.6374299209999998,1.3599999999999993e-54
8,LOC_Os01g51410.2,225,22,3.354349573,6.76e-54
9,LOC_Os12g33946.1,343,79,2.118284018,1.03e-53
10,LOC_Os06g50300.1,377,99,1.929064093,1.71e-53
11,LOC_Os04g37619.2,200,14,3.836501268,9.62e-53
12,LOC_Os08g39140.3,239,32,2.900866808,9.89e-51
14,LOC_Os03g03720.1,196,666,-1.764668523,5.45e-41
15,LOC_Os01g62290.1,186,24,2.95419631,1.45e-40
16,LOC_Os02g02400.3,94,443,-2.236574037,1.85e-40
17,LOC_Os08g09200.1,296,84,1.817135943,6.8299999999999994e-40
18,LOC_Os01g50030.1,168,22,2.932885804,2.2599999999999998e-36
19,LOC_Os09g29840.2,205,42,2.287162677,2.36e-35
20,LOC_Os05g47540.1,114,4,4.832890014,9.23e-35
21,LOC_Os02g02410.1,164,23,2.833990049,1.71e-34
22,LOC_Os12g19381.1,65,329,-2.339575961,1.8e-32
23,LOC_Os03g60080.1,120,11,3.447458977,6.22e-30
24,LOC_Os06g40940.3,148,25,2.565597176,8.859999999999998e-29
25,LOC_Os12g17600.1,75,329,-2.133125083,2.3e-28
26,LOC_Os11g05050.1,515,291,0.8235532790000001,6.32e-28
27,LOC_Os05g39250.1,84,2,5.392317423,4.5299999999999995e-27
28,LOC_Os02g33710.1,170,41,2.051838932,1.25e-26
29,LOC_Os03g17870.1,109,11,3.3087527060000004,1.3899999999999998e-26
30,LOC_Os03g51600.1,36,224,-2.637429921,2.13e-26
31,LOC_Os05g33960.1,94,6,3.969626351,6.46e-26
32,LOC_Os04g38600.3,39,228,-2.547487795,1.19e-25
33,LOC_Os08g41390.2,95,7,3.762500686,1.8e-25
34,LOC_Os01g57960.1,167,493,-1.561739544,8.18e-25
35,LOC_Os01g22010.2,119,18,2.724892762,1.06e-24
36,LOC_Os05g02530.1,161,41,1.973364873,3.12e-24
37,LOC_Os12g23200.1,63,276,-2.1312445330000003,5.82e-24
38,LOC_Os04g47220.1,118,19,2.634715536,9.47e-24
39,LOC_Os09g26880.3,111,17,2.706953025,6.990000000000002e-23
40,LOC_Os11g26850.2,158,44,1.84434913,2.4200000000000003e-22
41,LOC_Os04g32950.2,190,64,1.569855608,2.52e-22
42,LOC_Os01g52250.4,501,315,0.669458775,1.0499999999999999e-21
43,LOC_Os01g31690.1,211,542,-1.361049853,6.940000000000001e-21
44,LOC_Os07g14270.3,160,49,1.707218251,7.15e-21
45,LOC_Os05g38530.1,88,10,3.1375035239999995,1.1799999999999999e-20
46,LOC_Os02g51080.1,27,170,-2.654503434,1.42e-20
47,LOC_Os02g27030.1,302,153,0.981016897,1.41e-20
48,LOC_Os12g08770.1,37,194,-2.390459477,2.85e-20
49,LOC_Os02g39360.1,158,49,1.689070904,3.259999999999998e-20
50,LOC_Os07g34570.1,505,330,0.613817363,4.84e-20
51,LOC_Os01g55540.2,110,345,-1.649092838,1.41e-19
52,LOC_Os03g05310.1,71,5,3.827819025,1.72e-19
54,LOC_Os03g16020.1,67,4,4.06608919,3.39e-19
55,LOC_Os08g32870.1,138,41,1.7509724519999998,1.17e-18
56,LOC_Os10g30580.1,178,68,1.38827059,1.9199999999999998e-18
57,LOC_Os02g52390.1,264,133,0.989111684,2.63e-18
59,LOC_Os01g49370.1,67,249,-1.893912742,4.48e-18
60,LOC_Os11g13890.2,178,457,-1.360316924,8.49e-18
61,LOC_Os01g33960.1,25,150,-2.584962501,1.57e-17
62,LOC_Os08g38086.4,99,21,2.237039197,1.7199999999999998e-17
63,LOC_Os02g44870.1,85,14,2.602036014,3.14e-17
64,LOC_Os03g46770.1,1074,913,0.234307228,4.6e-17
65,LOC_Os01g08860.2,61,4,3.930737338,4.93e-17
67,LOC_Os02g32504.1,65,6,3.437405312,1.11e-16
68,LOC_Os03g57340.1,75,11,2.769387072,3.06e-16
69,LOC_Os12g44360.2,126,40,1.655351829,3.41e-16
71,LOC_Os08g31510.1,104,27,1.945552216,6.24e-16
72,LOC_Os09g36220.1,124,40,1.632268215,9.46e-16
73,LOC_Os05g44340.1,53,3,4.142957954,1.3900000000000001e-15
74,LOC_Os02g54130.3,89,20,2.153805336,2.7800000000000002e-15
75,LOC_Os05g46040.1,49,2,4.614709844,2.8600000000000003e-15
76,LOC_Os06g43660.3,119,328,-1.462734241,4.25e-15
77,LOC_Os01g64660.2,17,115,-2.75802721,5.129999999999999e-15
79,LOC_Os12g33946.1,41,172,-2.06871275,8.25e-15
80,LOC_Os03g51920.1,53,4,3.727920455,1.33e-14
81,LOC_Os11g34450.1,175,80,1.129283017,1.36e-14
82,LOC_Os09g30412.1,128,46,1.476438044,1.45e-14
83,LOC_Os09g30340.1,23,127,-2.465122731,2.43e-14
85,LOC_Os06g01850.1,95,275,-1.5334322,5.37e-14
87,LOC_Os09g04790.1,60,8,2.906890596,7.77e-14
88,LOC_Os06g08080.1,157,70,1.165337732,1.15e-13
89,LOC_Os06g23290.3,98,29,1.756728849,1.22e-13
90,LOC_Os10g25130.1,24,125,-2.380821784,1.6e-13
91,LOC_Os10g32680.3,52,5,3.378511623,2.5300000000000003e-13
92,LOC_Os03g49350.1,48,178,-1.89077093,2.75e-13
93,LOC_Os01g09570.1,109,37,1.558730959,2.79e-13
94,LOC_Os04g16680.1,34,147,-2.112209504,3.3e-13
95,LOC_Os08g17390.1,11,89,-3.016301812,4.03e-13
96,LOC_Os11g14220.1,16,102,-2.672425342,5.88e-13
97,LOC_Os03g52239.1,49,177,-1.852895706,7.91e-13
99,LOC_Os01g59150.1,6,72,-3.584962501,1.03e-12
100,LOC_Os11g07020.7,310,621,-1.002325053,1.66e-12
101,LOC_Os02g49700.1,67,210,-1.648156327,1.79e-12
102,LOC_Os08g05910.1,70,16,2.129283017,3.72e-12
103,LOC_Os03g18870.1,45,4,3.4918530960000003,4.05e-12
104,LOC_Os02g38340.1,45,4,3.4918530960000003,4.05e-12
105,LOC_Os02g54254.2,75,19,1.980891177,4.1500000000000015e-12
106,LOC_Os06g51220.2,57,188,-1.721698838,4.39e-12
107,LOC_Os03g60090.1,98,34,1.527247003,7.14e-12
108,LOC_Os10g32550.1,90,29,1.633872101,7.69e-12
110,LOC_Os02g35190.2,128,56,1.192645078,1.04e-11
111,LOC_Os07g36080.3,76,222,-1.5464883530000002,1.12e-11
112,LOC_Os10g42790.1,68,16,2.087462841,1.19e-11
113,LOC_Os05g14240.2,16,95,-2.569855608,1.72e-11
115,LOC_Os06g45820.2,417,314,0.409282825,2.1100000000000003e-11
116,LOC_Os02g32660.1,87,28,1.635588574,2.16e-11
117,LOC_Os03g16030.1,34,1,5.087462841000001,2.5e-11
118,LOC_Os10g21190.1,9,75,-3.058893689,2.55e-11
119,LOC_Os01g36950.1,63,14,2.169925001,3.26e-11
120,LOC_Os06g01210.1,44,155,-1.816692787,4.04e-11
121,LOC_Os09g31486.1,51,8,2.672425342,4.38e-11
122,LOC_Os02g30180.3,33,1,5.044394119,5.44e-11
123,LOC_Os01g01960.1,108,44,1.295455884,7.15e-11
125,LOC_Os07g37030.1,173,382,-1.1428006000000002,8.63e-11
126,LOC_Os10g31820.2,46,6,2.938599455,9.05e-11
127,LOC_Os02g13560.1,59,13,2.182203331,1.02e-10
128,LOC_Os05g04700.1,38,3,3.662965013,1.25e-10
130,LOC_Os07g34589.3,76,24,1.6629650130000002,2.34e-10
131,LOC_Os06g15400.1,53,168,-1.664396968,2.6000000000000003e-10
132,LOC_Os02g43020.1,48,8,2.584962501,2.9000000000000003e-10
133,LOC_Os08g09250.2,129,62,1.057030945,3.03e-10
134,LOC_Os03g43720.2,44,6,2.874469118,3.21e-10
135,LOC_Os03g05290.1,158,86,0.8775159929999999,3.7e-10
136,LOC_Os01g15020.1,148,78,0.924051147,4.200000000000001e-10
137,LOC_Os11g26860.1,74,23,1.68589141,4.32e-10
138,LOC_Os03g25960.1,17,90,-2.404390255,4.91e-10
139,LOC_Os04g52500.1,30,1,4.906890596,5.58e-10
140,LOC_Os03g21040.2,147,78,0.914270126,6.01e-10
141,LOC_Os02g07260.2,173,100,0.790772038,7.26e-10
142,LOC_Os06g15330.1,4,52,-3.700439718,9.16e-10
143,LOC_Os03g03360.1,10,70,-2.807354922,1.12e-09
144,LOC_Os09g27830.3,32,2,4.0,1.14e-09
145,LOC_Os02g57290.1,37,131,-1.823969636,1.2e-09
146,LOC_Os02g28980.1,29,1,4.857980995,1.21e-09
147,LOC_Os05g23740.1,156,87,0.842458723,1.22e-09
148,LOC_Os09g26810.1,2,44,-4.459431619,1.42e-09
150,LOC_Os08g03290.1,674,595,0.179858923,1.85e-09
151,LOC_Os01g03730.1,41,6,2.772589504,2.17e-09
152,LOC_Os04g26910.1,47,9,2.38466385,2.23e-09
153,LOC_Os06g36560.1,73,25,1.545968369,2.57e-09
154,LOC_Os07g43810.1,33,121,-1.874469118,2.6800000000000003e-09
156,LOC_Os03g16050.1,39,133,-1.769880217,3.02e-09
157,LOC_Os02g42890.1,54,13,2.054447784,3.14e-09
158,LOC_Os01g48960.1,107,50,1.097610797,3.96e-09
159,LOC_Os07g47530.2,72,25,1.526068812,4.220000000000001e-09
160,LOC_Os12g31000.1,2,42,-4.392317423,4.589999999999999e-09
161,LOC_Os06g45710.1,85,34,1.321928095,4.8e-09
162,LOC_Os04g23890.4,92,39,1.238159737,5.2200000000000006e-09
163,LOC_Os09g29630.1,33,119,-1.850423644,5.88e-09
164,LOC_Os12g32986.1,62,19,1.706268797,7.319999999999999e-09
165,LOC_Os06g08670.1,84,34,1.304854582,7.509999999999999e-09
166,LOC_Os03g52630.1,7,57,-3.025535092,7.809999999999998e-09
168,LOC_Os03g21720.1,72,26,1.469485283,9.55e-09
169,LOC_Os05g38150.1,70,25,1.485426827,1.13e-08
170,LOC_Os03g57200.1,26,1,4.700439718,1.22e-08
171,LOC_Os05g49300.1,73,27,1.434937057,1.33e-08
172,LOC_Os12g44030.1,67,23,1.542527234,1.36e-08
173,LOC_Os01g55830.1,65,22,1.5629361940000002,1.56e-08
174,LOC_Os08g20660.1,31,3,3.36923381,1.73e-08
175,LOC_Os10g41360.1,31,3,3.36923381,1.73e-08
176,LOC_Os08g45010.1,143,82,0.802319332,1.78e-08
177,LOC_Os11g39020.1,62,20,1.632268215,1.86e-08
178,LOC_Os06g21590.2,360,642,-0.8345763909999999,1.99e-08
181,LOC_Os03g08430.2,72,27,1.415037499,2.12e-08
182,LOC_Os12g44050.1,35,5,2.807354922,2.33e-08
183,LOC_Os12g36640.2,58,18,1.688055994,2.36e-08
184,LOC_Os05g41640.1,63,171,-1.440572591,2.4700000000000003e-08
185,LOC_Os12g37060.1,64,22,1.540568381,2.58e-08
186,LOC_Os03g21620.1,50,13,1.943416472,2.82e-08
187,LOC_Os05g08840.1,52,14,1.893084796,2.9e-08
188,LOC_Os03g52860.1,23,93,-2.015596855,3.08e-08
189,LOC_Os12g12850.1,305,234,0.382300713,3.2e-08
190,LOC_Os03g58790.1,39,7,2.478047297,3.51e-08
191,LOC_Os05g48630.2,70,182,-1.378511623,3.87e-08
192,LOC_Os05g24550.1,91,42,1.115477217,3.85e-08
193,LOC_Os06g34040.1,91,42,1.115477217,3.85e-08
194,LOC_Os03g28330.1,29,105,-1.856264523,4.04e-08
195,LOC_Os07g49270.1,56,17,1.719892081,4.03e-08
196,LOC_Os03g16670.1,44,10,2.137503524,4.7300000000000007e-08
197,LOC_Os02g01030.4,44,10,2.137503524,4.7300000000000007e-08
198,LOC_Os01g58194.1,24,1,4.584962501000001,5.7e-08
199,LOC_Os12g43600.1,192,380,-0.984893108,6.48e-08
201,LOC_Os05g06140.1,8,55,-2.781359714,7.27e-08
202,LOC_Os04g58280.2,51,146,-1.517399217,7.92e-08
203,LOC_Os03g06620.1,48,13,1.884522783,8.4e-08
204,LOC_Os04g53190.1,48,13,1.884522783,8.4e-08
205,LOC_Os05g50380.2,43,10,2.10433666,8.36e-08
206,LOC_Os10g35960.1,28,100,-1.836501268,9.63e-08
207,LOC_Os08g03290.1,11,62,-2.494764692,9.81e-08
211,LOC_Os11g05110.3,103,53,0.958580073,1.08e-07
212,LOC_Os01g07870.1,54,17,1.667424661,1.11e-07
213,LOC_Os02g32520.1,37,7,2.402098444,1.17e-07
214,LOC_Os06g02380.1,208,146,0.510615159,1.33e-07
215,LOC_Os12g02250.1,28,3,3.2223924210000003,1.42e-07
216,LOC_Os02g50240.1,102,232,-1.185555653,1.42e-07
217,LOC_Os09g29890.1,44,11,2.0,1.56e-07
218,LOC_Os06g04270.1,115,253,-1.137503524,1.75e-07
219,LOC_Os12g24080.1,88,42,1.067114196,1.92e-07
220,LOC_Os04g24600.1,93,46,1.015596855,1.96e-07
222,LOC_Os10g40700.1,1,31,-4.95419631,2.24e-07
224,LOC_Os08g43440.1,39,9,2.115477217,2.64e-07
225,LOC_Os05g50710.1,44,12,1.874469118,2.74e-07
226,LOC_Os02g28830.1,64,25,1.35614381,2.8300000000000003e-07
227,LOC_Os05g49770.2,27,3,3.169925001,2.86e-07
228,LOC_Os04g38390.1,27,3,3.169925001,2.86e-07
229,LOC_Os01g21420.1,27,3,3.169925001,2.86e-07
230,LOC_Os01g56670.2,36,112,-1.6374299209999998,3.35e-07
231,LOC_Os08g27850.1,95,49,0.955145764,3.37e-07
232,LOC_Os11g04720.2,6,46,-2.938599455,3.89e-07
233,LOC_Os01g08700.1,123,73,0.7526899459999999,3.91e-07
234,LOC_Os08g04430.1,29,4,2.857980995,3.95e-07
235,LOC_Os02g57260.1,47,14,1.74723393,3.96e-07
236,LOC_Os02g01740.1,60,23,1.38332864,4.01e-07
237,LOC_Os06g36360.2,60,23,1.38332864,4.01e-07
238,LOC_Os01g33960.1,60,23,1.38332864,4.01e-07
241,LOC_Os01g43370.1,40,10,2.0,4.59e-07
242,LOC_Os10g33800.2,170,115,0.563900885,4.63e-07
247,LOC_Os09g32050.1,31,5,2.632268215,5.6e-07
248,LOC_Os09g25850.1,21,1,4.392317423,5.65e-07
249,LOC_Os07g04210.1,26,3,3.115477217,5.74e-07
250,LOC_Os08g44680.1,184,356,-0.952171475,5.81e-07
251,LOC_Os09g20220.1,24,2,3.584962501,6.3e-07
252,LOC_Os04g57550.1,73,33,1.14543044,6.51e-07
253,LOC_Os07g35940.1,73,33,1.14543044,6.51e-07
254,LOC_Os07g34730.1,32,6,2.415037499,6.67e-07
255,LOC_Os03g06139.1,54,19,1.506959989,6.75e-07
256,LOC_Os04g04020.1,52,18,1.530514717,7.4e-07
257,LOC_Os06g12310.1,28,4,2.807354922,7.590000000000002e-07
258,LOC_Os01g55950.1,41,11,1.898120386,7.92e-07
259,LOC_Os09g24230.1,36,8,2.169925001,7.909999999999998e-07
261,LOC_Os03g14690.1,100,55,0.8624964759999999,9.12e-07
262,LOC_Os01g53520.1,59,23,1.359081093,9.78e-07
263,LOC_Os04g38870.4,24,85,-1.824428435,1.01e-06
264,LOC_Os06g08110.1,30,5,2.584962501,1.03e-06
265,LOC_Os01g11070.1,25,3,3.058893689,1.15e-06
266,LOC_Os04g55710.1,4,38,-3.247927513,1.15e-06
267,LOC_Os03g24450.1,20,1,4.321928095,1.21e-06
268,LOC_Os01g53220.1,20,1,4.321928095,1.21e-06
269,LOC_Os12g31850.4,31,6,2.36923381,1.25e-06
270,LOC_Os07g30020.1,105,60,0.807354922,1.35e-06
271,LOC_Os06g10810.1,8,49,-2.614709844,1.4e-06
272,LOC_Os03g41460.1,35,8,2.129283017,1.39e-06
273,LOC_Os04g32020.1,71,33,1.105353,1.49e-06
275,LOC_Os02g11740.2,106,228,-1.10496956,1.5e-06
276,LOC_Os02g52940.1,124,257,-1.051428239,1.48e-06
277,LOC_Os10g28200.2,46,126,-1.4537179669999998,1.56e-06
278,LOC_Os11g34350.1,84,43,0.966052668,1.57e-06
279,LOC_Os08g01380.2,23,82,-1.833990049,1.64e-06
280,LOC_Os07g01760.1,144,95,0.600069393,1.69e-06
281,LOC_Os06g45120.1,121,75,0.6900445470000001,1.76e-06
282,LOC_Os03g03910.1,125,78,0.680382066,1.8000000000000001e-06
283,LOC_Os03g59340.1,37,108,-1.545434137,2.26e-06
284,LOC_Os07g44060.1,24,3,3.0,2.29e-06
285,LOC_Os01g15010.1,39,11,1.8259706,2.32e-06
286,LOC_Os02g39890.1,10,52,-2.378511623,2.5e-06
287,LOC_Os01g19130.1,22,2,3.459431619,2.49e-06
290,LOC_Os02g14770.1,280,228,0.296393003,2.55e-06
291,LOC_Os04g49350.1,19,1,4.2479275130000005,2.58e-06
292,LOC_Os02g29550.2,19,1,4.2479275130000005,2.58e-06
295,LOC_Os07g04840.1,173,331,-0.936059179,2.88e-06
296,LOC_Os03g25940.4,145,98,0.565199246,2.94e-06
297,LOC_Os03g04970.1,28,5,2.485426827,3.48e-06
298,LOC_Os01g71300.2,28,5,2.485426827,3.48e-06
299,LOC_Os07g10770.1,26,86,-1.725825037,3.59e-06
300,LOC_Os04g40660.3,56,23,1.283792966,3.68e-06
301,LOC_Os02g12650.1,40,12,1.7369655940000002,3.78e-06
302,LOC_Os03g44230.1,63,28,1.169925001,3.77e-06
303,LOC_Os03g48300.1,10,51,-2.350497247,3.92e-06
304,LOC_Os10g08550.5,156,109,0.517217894,4.19e-06
305,LOC_Os07g48500.1,247,197,0.326315412,4.18e-06
306,LOC_Os01g71990.1,33,8,2.044394119,4.32e-06
307,LOC_Os10g10500.1,50,19,1.395928676,4.35e-06
308,LOC_Os02g52780.1,23,3,2.938599455,4.56e-06
309,LOC_Os01g43710.1,23,3,2.938599455,4.56e-06
310,LOC_Os12g21890.1,23,3,2.938599455,4.56e-06
311,LOC_Os04g36720.1,35,9,1.959358016,4.55e-06
312,LOC_Os09g23350.1,35,9,1.959358016,4.55e-06
313,LOC_Os06g29180.1,35,9,1.959358016,4.55e-06
314,LOC_Os05g49290.2,2,29,-3.857980995,4.71e-06
315,LOC_Os02g54254.2,2,29,-3.857980995,4.71e-06
319,LOC_Os05g46290.1,25,4,2.64385619,5.36e-06
320,LOC_Os04g49570.1,25,4,2.64385619,5.36e-06
322,LOC_Os03g22270.2,55,23,1.257797757,5.7000000000000005e-06
323,LOC_Os01g08320.1,22,76,-1.788495895,5.7999999999999995e-06
324,LOC_Os05g49200.1,131,87,0.590479506,5.9e-06
325,LOC_Os05g47560.1,67,32,1.06608919,6.04e-06
326,LOC_Os09g01000.1,1406,1471,-0.065200652,6.12e-06
327,LOC_Os01g10050.2,27,5,2.432959407,6.39e-06
328,LOC_Os01g68700.1,17,66,-1.956931278,6.61e-06
329,LOC_Os03g21230.1,5,37,-2.8875252710000003,7.11e-06
330,LOC_Os03g26960.1,65,31,1.068171503,7.19e-06
331,LOC_Os07g29410.1,62,29,1.096215315,7.19e-06
332,LOC_Os09g36480.2,32,8,2.0,7.59e-06
333,LOC_Os08g42850.1,3,32,-3.415037499,7.8e-06
334,LOC_Os04g37660.1,3,32,-3.415037499,7.8e-06
335,LOC_Os12g34014.1,34,9,1.91753784,7.77e-06
336,LOC_Os02g52650.1,2,28,-3.807354922,8.3e-06
337,LOC_Os11g33270.1,2,28,-3.807354922,8.3e-06
338,LOC_Os01g07970.1,1,25,-4.64385619,8.91e-06
339,LOC_Os01g25386.1,50,20,1.321928095,9.43e-06
340,LOC_Os02g11050.1,99,60,0.722466024,9.61e-06
343,LOC_Os12g42980.1,56,25,1.163498732,9.89e-06
344,LOC_Os02g38920.1,141,98,0.524841508,1.14e-05
345,LOC_Os03g45960.1,17,1,4.087462841000002,1.17e-05
346,LOC_Os05g08370.1,30,90,-1.584962501,1.23e-05
352,LOC_Os05g36270.2,3,30,-3.321928095,1.29e-05
353,LOC_Os01g13210.1,34,10,1.765534746,1.3e-05
354,LOC_Os05g49890.3,107,68,0.654004145,1.29e-05
355,LOC_Os01g40470.1,72,38,0.921997488,1.29e-05
356,LOC_Os12g08260.4,33,9,1.874469118,1.32e-05
357,LOC_Os12g41390.3,28,6,2.222392421,1.3699999999999998e-05
358,LOC_Os02g30630.1,7,41,-2.550197083,1.4300000000000004e-05
359,LOC_Os01g12710.1,40,14,1.514573173,1.4300000000000004e-05
360,LOC_Os03g07360.1,40,14,1.514573173,1.4300000000000004e-05
361,LOC_Os01g62080.2,40,14,1.514573173,1.4300000000000004e-05
362,LOC_Os02g47220.2,1,23,-4.523561956,1.56e-05
363,LOC_Os02g13140.1,47,19,1.306661338,1.7199999999999998e-05
364,LOC_Os02g07870.1,116,77,0.591194454,1.75e-05
365,LOC_Os03g52840.2,148,282,-0.930097987,1.83e-05
368,LOC_Os10g37730.1,19,2,3.247927513,1.96e-05
369,LOC_Os09g01960.1,19,2,3.247927513,1.96e-05
370,LOC_Os04g55930.1,19,2,3.247927513,1.96e-05
371,LOC_Os04g32020.3,105,67,0.648156327,2.1e-05
372,LOC_Os03g48080.1,48,20,1.2630344059999998,2.28e-05
373,LOC_Os08g38460.1,30,8,1.906890596,2.32e-05
374,LOC_Os10g35720.1,39,14,1.4780472969999998,2.35e-05
375,LOC_Os07g41710.2,10,47,-2.232660757,2.35e-05
376,LOC_Os01g13760.1,65,149,-1.196800707,2.4100000000000006e-05
377,LOC_Os03g63040.1,28,7,2.0,2.48e-05
378,LOC_Os02g08490.1,28,7,2.0,2.48e-05
379,LOC_Os02g13840.1,116,78,0.5725787760000001,2.53e-05
380,LOC_Os07g31340.1,81,47,0.7852611509999999,2.53e-05
381,LOC_Os08g34720.1,79,45,0.811927652,2.65e-05
382,LOC_Os02g41590.1,88,53,0.731511164,2.8000000000000006e-05
384,LOC_Os03g53270.1,49,21,1.222392421,3.02e-05
385,LOC_Os03g17070.1,37,99,-1.419903254,3.06e-05
386,LOC_Os04g37690.1,13,53,-2.027480736,3.09e-05
391,LOC_Os02g30900.1,22,4,2.459431619,3.69e-05
392,LOC_Os08g36320.3,22,4,2.459431619,3.69e-05
393,LOC_Os03g16000.1,22,4,2.459431619,3.69e-05
394,LOC_Os02g53400.1,3,28,-3.2223924210000003,3.71e-05
395,LOC_Os07g12340.1,18,2,3.169925001,3.9e-05
396,LOC_Os05g43240.2,18,2,3.169925001,3.9e-05
397,LOC_Os03g27019.6,18,2,3.169925001,3.9e-05
398,LOC_Os05g08810.1,24,5,2.263034406,3.92e-05
399,LOC_Os01g11054.1,163,124,0.394531844,3.94e-05
400,LOC_Os06g45840.1,29,8,1.857980995,4.04e-05
401,LOC_Os02g49570.1,14,54,-1.94753258,4.31e-05
402,LOC_Os08g29150.1,27,7,1.94753258,4.41e-05
403,LOC_Os04g51300.1,2,25,-3.64385619,4.57e-05
404,LOC_Os01g16430.1,33,11,1.584962501,5.479999999999999e-05
405,LOC_Os02g33500.1,33,11,1.584962501,5.479999999999999e-05
406,LOC_Os05g04360.1,20,3,2.736965594,5.770000000000001e-05
407,LOC_Os11g38260.1,20,3,2.736965594,5.770000000000001e-05
408,LOC_Os07g44740.1,20,3,2.736965594,5.770000000000001e-05
409,LOC_Os03g27950.1,20,3,2.736965594,5.770000000000001e-05
410,LOC_Os10g39930.2,9,42,-2.222392421,6.05e-05
411,LOC_Os12g34094.1,9,43,-2.256339753,6.15e-05
412,LOC_Os01g68770.1,32,10,1.678071905,6.14e-05
417,LOC_Os08g02120.1,3,27,-3.169925001,6.29e-05
418,LOC_Os04g16770.1,3,27,-3.169925001,6.29e-05
419,LOC_Os05g29990.1,14,53,-1.920565533,6.440000000000001e-05
420,LOC_Os12g33958.1,32,88,-1.459431619,6.63e-05
421,LOC_Os11g06890.1,104,70,0.571156701,6.759999999999999e-05
425,LOC_Os04g48050.1,36,13,1.469485283,6.809999999999999e-05
426,LOC_Os01g70940.1,28,8,1.807354922,7e-05
427,LOC_Os07g49330.3,28,8,1.807354922,7e-05
428,LOC_Os01g40280.2,21,4,2.392317423,6.96e-05
429,LOC_Os11g17930.1,21,4,2.392317423,6.96e-05
430,LOC_Os11g01380.1,191,154,0.310642287,7.3e-05
431,LOC_Os06g06030.1,49,23,1.091147888,7.38e-05
432,LOC_Os03g41080.1,49,23,1.091147888,7.38e-05
433,LOC_Os07g25430.1,48,115,-1.26052755,7.5e-05
434,LOC_Os03g31839.1,25,6,2.058893689,7.48e-05
435,LOC_Os06g49530.1,25,6,2.058893689,7.48e-05
436,LOC_Os03g16860.1,57,29,0.974909019,7.47e-05
437,LOC_Os06g04510.2,72,155,-1.106199404,7.6e-05
438,LOC_Os03g42820.2,34,12,1.502500341,7.77e-05
439,LOC_Os02g53420.1,34,12,1.502500341,7.77e-05
440,LOC_Os01g62870.1,17,2,3.087462841,7.74e-05
441,LOC_Os07g46700.1,17,2,3.087462841,7.74e-05
442,LOC_Os01g62760.1,17,2,3.087462841,7.74e-05
443,LOC_Os05g33730.1,26,7,1.893084796,7.82e-05
444,LOC_Os02g49230.1,2,24,-3.584962501,8.08e-05
445,LOC_Os07g36470.1,71,41,0.792195115,8.3e-05
446,LOC_Os04g52640.2,1,20,-4.321928095,8.73e-05
447,LOC_Os05g32220.1,133,98,0.440572591,8.85e-05
448,LOC_Os07g47510.1,50,24,1.058893689,9.03e-05
449,LOC_Os06g19960.1,55,28,0.974004791,9.1e-05
450,LOC_Os02g25060.1,7,37,-2.402098444,9.66e-05
451,LOC_Os01g18050.1,7,37,-2.402098444,9.66e-05
452,LOC_Os06g06560.1,75,45,0.7369655940000001,0.000100781
453,LOC_Os03g21000.1,43,19,1.178337241,0.00010191
454,LOC_Os02g02290.1,82,51,0.685126663,0.000108111
455,LOC_Os02g01280.1,56,29,0.949373927,0.00010889
456,LOC_Os07g46220.1,29,9,1.688055994,0.000108745
457,LOC_Os04g51910.1,58,31,0.903784685,0.00010869
458,LOC_Os03g21680.2,35,13,1.428843299,0.000109446
459,LOC_Os07g48450.3,14,1,3.807354922,0.000110256
460,LOC_Os01g52630.1,14,1,3.807354922,0.000110256
461,LOC_Os06g35540.1,14,1,3.807354922,0.000110256
462,LOC_Os12g07110.1,88,57,0.626541604,0.000112793
463,LOC_Os01g08410.1,27,8,1.754887502,0.000120624
464,LOC_Os06g14750.1,42,18,1.222392421,0.000121915
465,LOC_Os03g56280.1,11,45,-2.0324214780000003,0.00012571700000000002
466,LOC_Os05g01470.1,33,12,1.459431619,0.000126959
467,LOC_Os02g02750.3,33,12,1.459431619,0.000126959
473,LOC_Os09g02214.1,57,30,0.925999419,0.000130553
474,LOC_Os09g12570.1,24,6,2.0,0.00013087
475,LOC_Os04g34450.1,22,5,2.137503524,0.000129363
476,LOC_Os07g09600.1,71,42,0.7574296970000001,0.00013241700000000002
477,LOC_Os04g16722.1,139,105,0.404695555,0.00013526
484,LOC_Os02g58410.1,2,23,-3.5235619560000004,0.00014282700000000002
485,LOC_Os05g42250.1,16,2,3.0,0.000153104
486,LOC_Os01g68710.3,16,2,3.0,0.000153104
487,LOC_Os12g43410.1,16,2,3.0,0.000153104
488,LOC_Os12g34330.1,16,2,3.0,0.000153104
489,LOC_Os03g52170.1,66,38,0.796466606,0.000152037
490,LOC_Os01g17240.1,66,38,0.796466606,0.000152037
491,LOC_Os07g27950.2,31,11,1.494764692,0.000151602
492,LOC_Os02g54510.3,31,11,1.494764692,0.000151602
